2026-03-25 14:05:21,750 | INFO | train_adaptive_fusion | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-25 14:05:27,803 | INFO | train_adaptive_fusion | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-26 14:08:42,570 | INFO | train_adaptive_fusion | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-26 14:08:43,890 | INFO | train_adaptive_fusion | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-26 15:48:46,620 | INFO | train_adaptive_fusion | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-26 15:48:47,946 | INFO | train_adaptive_fusion | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-27 09:11:07,562 | INFO | train_adaptive_fusion | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-27 09:11:08,738 | INFO | train_adaptive_fusion | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-27 09:11:18,607 | INFO | train_adaptive_fusion | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-27 09:11:19,779 | INFO | train_adaptive_fusion | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-27 09:11:20,207 | INFO | train_adaptive_fusion | Using train subset for smoke test: 16 samples
2026-03-27 09:11:20,222 | INFO | train_adaptive_fusion | Using val subset for smoke test: 8 samples
