2026-04-03 09:24:15,279 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-04-03 09:24:16,449 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-04-03 09:24:27,777 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-04-03 09:24:28,981 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-04-03 09:24:29,436 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Using train subset for smoke test: 64 samples
2026-04-03 09:24:29,452 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Using val subset for smoke test: 32 samples
2026-04-03 09:33:30,017 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | adaptive_fusion_mlp_ocrq_chunkplus training completed: {'best_val_accuracy': 0.834841628959276, 'best_epoch': 5, 'history': [{'epoch': 1, 'train_loss': 0.6198049576833299, 'train_accuracy': 0.7133757961783439, 'val_loss': 0.6079191432355847, 'val_accuracy': 0.7873303167420814}, {'epoch': 2, 'train_loss': 0.517413230611634, 'train_accuracy': 0.7961783439490446, 'val_loss': 0.5506404794684863, 'val_accuracy': 0.8212669683257918}, {'epoch': 3, 'train_loss': 0.46335539250086, 'train_accuracy': 0.8057324840764332, 'val_loss': 0.5170393930850146, 'val_accuracy': 0.8235294117647058}, {'epoch': 4, 'train_loss': 0.4257522445681757, 'train_accuracy': 0.8535031847133758, 'val_loss': 0.4936484869204068, 'val_accuracy': 0.8257918552036199}, {'epoch': 5, 'train_loss': 0.39585262716202885, 'train_accuracy': 0.8821656050955414, 'val_loss': 0.4754443311749936, 'val_accuracy': 0.834841628959276}], 'checkpoint_path': 'outputs/checkpoints/adaptive_fusion_mlp_ocrq_chunkplus/adaptive_fusion_mlp_ocrq_chunkplus_best.pkl', 'val_retrieval_metrics': {'Recall@1': 0.4375, 'Hit@1': 0.4375, 'Recall@5': 0.6875, 'Hit@5': 0.6875, 'Recall@10': 0.8125, 'Hit@10': 0.8125, 'MRR': 0.5559771825396826, 'PageAcc': 0.4375, 'num_samples': 32}}
2026-04-03 09:33:30,886 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | adaptive_fusion_mlp_ocrq_chunkplus training completed. checkpoint=outputs/checkpoints/adaptive_fusion_mlp_ocrq_chunkplus/adaptive_fusion_mlp_ocrq_chunkplus_best.pkl
2026-04-03 14:04:02,282 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-04-03 14:04:03,449 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-04-04 01:17:41,485 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | adaptive_fusion_mlp_ocrq_chunkplus training completed: {'best_val_accuracy': 0.9435567261730563, 'best_epoch': 5, 'history': [{'epoch': 1, 'train_loss': 0.17351770945038314, 'train_accuracy': 0.9368779822767552, 'val_loss': 0.16419568665232384, 'val_accuracy': 0.9388547458784509}, {'epoch': 2, 'train_loss': 0.1609416190038103, 'train_accuracy': 0.9420174061920388, 'val_loss': 0.16193999326183894, 'val_accuracy': 0.941508145546776}, {'epoch': 3, 'train_loss': 0.15748828910279775, 'train_accuracy': 0.9436692506459948, 'val_loss': 0.1594571072007802, 'val_accuracy': 0.9424641498390401}, {'epoch': 4, 'train_loss': 0.155091523556984, 'train_accuracy': 0.9447155244843931, 'val_loss': 0.15823654410868954, 'val_accuracy': 0.9432640717978734}, {'epoch': 5, 'train_loss': 0.15385353756052994, 'train_accuracy': 0.9454066993230925, 'val_loss': 0.15749207940370918, 'val_accuracy': 0.9435567261730563}], 'checkpoint_path': 'outputs/checkpoints/adaptive_fusion_mlp_ocrq_chunkplus/adaptive_fusion_mlp_ocrq_chunkplus_best.pkl', 'val_retrieval_metrics': {'Recall@1': 0.6429535376903798, 'Hit@1': 0.6429535376903798, 'Recall@5': 0.8756506651243493, 'Hit@5': 0.8756506651243493, 'Recall@10': 0.9205706574127627, 'Hit@10': 0.9205706574127627, 'MRR': 0.7420016004602502, 'PageAcc': 0.6429535376903798, 'num_samples': 5187}}
2026-04-04 01:17:44,870 | INFO | train_adaptive_fusion_mlp_ocrq_chunkplus | adaptive_fusion_mlp_ocrq_chunkplus training completed. checkpoint=outputs/checkpoints/adaptive_fusion_mlp_ocrq_chunkplus/adaptive_fusion_mlp_ocrq_chunkplus_best.pkl
