2026-03-27 15:41:48,225 | INFO | train_adaptive_fusion_v2 | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-27 15:41:49,541 | INFO | train_adaptive_fusion_v2 | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-27 15:41:50,020 | INFO | train_adaptive_fusion_v2 | Using train subset for smoke test: 64 samples
2026-03-27 15:41:50,039 | INFO | train_adaptive_fusion_v2 | Using val subset for smoke test: 32 samples
2026-03-27 15:44:49,057 | INFO | train_adaptive_fusion_v2 | adaptive_fusion_v2 training completed: {'best_val_accuracy': 0.9360730593607306, 'best_epoch': 1, 'history': [{'epoch': 1, 'train_loss': 0.5658688265063359, 'train_accuracy': 0.7961783439490446, 'val_loss': 0.4913228836816046, 'val_accuracy': 0.9360730593607306}, {'epoch': 2, 'train_loss': 0.5389441007209479, 'train_accuracy': 0.7961783439490446, 'val_loss': 0.452882489251461, 'val_accuracy': 0.9360730593607306}, {'epoch': 3, 'train_loss': 0.5333574915886365, 'train_accuracy': 0.7961783439490446, 'val_loss': 0.4664787750156706, 'val_accuracy': 0.9360730593607306}, {'epoch': 4, 'train_loss': 0.53446459343682, 'train_accuracy': 0.7961783439490446, 'val_loss': 0.5394758611331179, 'val_accuracy': 0.9360730593607306}], 'checkpoint_path': 'outputs/checkpoints/adaptive_fusion_v2/adaptive_fusion_v2_best.pkl', 'val_retrieval_metrics': {'Recall@1': 0.28125, 'Hit@1': 0.28125, 'Recall@5': 0.71875, 'Hit@5': 0.71875, 'Recall@10': 0.8125, 'Hit@10': 0.8125, 'MRR': 0.47899305555555555, 'PageAcc': 0.28125, 'num_samples': 32}}
2026-03-27 15:44:49,278 | INFO | train_adaptive_fusion_v2 | Adaptive fusion v2 training completed. checkpoint=outputs/checkpoints/adaptive_fusion_v2/adaptive_fusion_v2_best.pkl
2026-03-27 15:46:00,363 | INFO | train_adaptive_fusion_v2 | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-27 15:46:01,696 | INFO | train_adaptive_fusion_v2 | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-27 21:24:50,369 | INFO | train_adaptive_fusion_v2 | adaptive_fusion_v2 training completed: {'best_val_accuracy': 0.9051971081707816, 'best_epoch': 1, 'history': [{'epoch': 1, 'train_loss': 0.39120303301515286, 'train_accuracy': 0.8703015021255298, 'val_loss': 0.334320030208151, 'val_accuracy': 0.9051971081707816}, {'epoch': 2, 'train_loss': 0.3904838290767317, 'train_accuracy': 0.869956222322181, 'val_loss': 0.33251422760925237, 'val_accuracy': 0.9051971081707816}, {'epoch': 3, 'train_loss': 0.39102230440154373, 'train_accuracy': 0.8688411902966872, 'val_loss': 0.33168715851373026, 'val_accuracy': 0.9051971081707816}, {'epoch': 4, 'train_loss': 0.4145509453778588, 'train_accuracy': 0.8711029313938534, 'val_loss': 0.47502769983683346, 'val_accuracy': 0.9051971081707816}], 'checkpoint_path': 'outputs/checkpoints/adaptive_fusion_v2/adaptive_fusion_v2_best.pkl', 'val_retrieval_metrics': {'Recall@1': 0.2575669944090997, 'Hit@1': 0.2575669944090997, 'Recall@5': 0.6207827260458839, 'Hit@5': 0.6207827260458839, 'Recall@10': 0.8014266435319067, 'Hit@10': 0.8014266435319067, 'MRR': 0.4148972094460804, 'PageAcc': 0.2575669944090997, 'num_samples': 5187}}
2026-03-27 21:25:13,539 | INFO | train_adaptive_fusion_v2 | Adaptive fusion v2 training completed. checkpoint=outputs/checkpoints/adaptive_fusion_v2/adaptive_fusion_v2_best.pkl
2026-03-27 21:52:06,099 | INFO | train_adaptive_fusion_v2 | Loading processed train split from data/processed/mpdocvqa/train.jsonl
2026-03-27 21:52:07,512 | INFO | train_adaptive_fusion_v2 | Loading processed val split from data/processed/mpdocvqa/val.jsonl
2026-03-28 03:22:37,055 | INFO | train_adaptive_fusion_v2 | adaptive_fusion_v2 training completed: {'best_val_accuracy': 0.9051971081707816, 'best_epoch': 1, 'history': [{'epoch': 1, 'train_loss': 0.3914404262856431, 'train_accuracy': 0.8701146075530749, 'val_loss': 0.3357515011674703, 'val_accuracy': 0.9051971081707816}, {'epoch': 2, 'train_loss': 0.3909964552186513, 'train_accuracy': 0.8703046698301476, 'val_loss': 0.3337306029285427, 'val_accuracy': 0.9051971081707816}, {'epoch': 3, 'train_loss': 0.390927149840665, 'train_accuracy': 0.8698358495467015, 'val_loss': 0.3348144524390364, 'val_accuracy': 0.9051971081707816}, {'epoch': 4, 'train_loss': 0.395781475445365, 'train_accuracy': 0.8684864073794847, 'val_loss': 0.3338032101915964, 'val_accuracy': 0.9051971081707816}], 'checkpoint_path': 'outputs/checkpoints/adaptive_fusion_v2/adaptive_fusion_v2_best.pkl', 'val_retrieval_metrics': {'Recall@1': 0.3905918642760748, 'Hit@1': 0.3905918642760748, 'Recall@5': 0.7698091382301908, 'Hit@5': 0.7698091382301908, 'Recall@10': 0.8810487757856179, 'Hit@10': 0.8810487757856179, 'MRR': 0.5522414093842677, 'PageAcc': 0.3905918642760748, 'num_samples': 5187}}
2026-03-28 03:22:44,634 | INFO | train_adaptive_fusion_v2 | Adaptive fusion v2 training completed. checkpoint=outputs/checkpoints/adaptive_fusion_v2/adaptive_fusion_v2_best.pkl
